species,Ne_median,bin_1,bin_20,relative_pi_difference
Allenopithecus_nigroviridis,53365.19254838497,0.0012683333333333002,0.0017883333333333,0.29077353215284785
Allochrocebus_lhoesti,92754.97120478917,0.00213999999999995,0.0031083333333333,0.311528150134057
Allochrocebus_preussi,105337.8171644748,0.0022449999999999996,0.00353,0.36402266288951857
Allochrocebus_solatus,124435.89166454956,0.00279,0.00417,0.3309352517985612
Alouatta_belzebul,62275.72512957436,0.00136,0.00221,0.38461538461538464
Alouatta_caraya,42127.69641118265,0.0011066666666666,0.001495,0.25975473801565213
Alouatta_discolor,78901.37120489059,0.0015633333333333,0.0028,0.44166666666667853
Alouatta_juara,76714.500022829,0.00171916666666665,0.00265,0.3512578616352264
Alouatta_macconnelli,77337.88059804504,0.0016975873015873,0.0027445158730157997,0.38146202094218046
Alouatta_nigerrima,79464.64247647469,0.0016166666666666,0.0027449999999999497,0.4110503946569655
Alouatta_palliata,5106.37363972865,1.8e-4,1.7e-4,-0.0588235294117647
Alouatta_puruensis,113990.70847819353,0.0027223809523808998,0.0039055238095238,0.3029408895825323
Alouatta_seniculus,87507.23214711554,0.0019656652368565,0.00302282052442305,0.3497247947819608
Aotus_azarae,44946.1635391642,6.808222183045e-4,0.0014552887780496,0.5321738004350255
Aotus_griseimembra,50176.07054873652,9.289047619047e-4,0.0015593095238095,0.4042845581835978
Aotus_trivirgatus,27155.07467979379,1.9e-4,9.1e-4,0.7912087912087912
Aotus_vociferans,170019.6331464716,0.0032693849206349,0.0052836587301587,0.3812270838058648
Arctocebus_calabarensis,60949.33676414091,0.00119,0.00152,0.21710526315789472
Ateles_belzebuth,77876.24702914825,0.0015566666666666,0.00294666666666665,0.4717194570135943
Ateles_chamek,79541.93929532662,0.0017321152421709,0.0030096928147530996,0.42448769732236136
Ateles_geoffroyi,54442.89667874967,0.00114,0.00206,0.4466019417475729
Ateles_marginatus,49685.750367014254,0.00111,0.00188,0.40957446808510634
Ateles_paniscus,28697.044649029976,7.1e-4,0.00108583333333325,0.3461243284727049
Cacajao_ayresi,19923.66834564891,4.55e-4,6.676666666666e-4,0.3185222166749195
Cacajao_calvus,51404.46317972052,0.0012933102233213,0.0017226268771175501,0.24922208024213593
Cacajao_hosomi,30636.4945105346,7.158333333333e-4,0.0010266666666666,0.30275974025972746
Cacajao_melanocephalus,32974.019254032326,7.683333333333e-4,0.0011049999999999,0.3046757164403895
Callimico_goeldii,51973.18772413284,9.45e-4,0.00145,0.3482758620689655
Callithrix_geoffroyi,127244.70097977352,0.00151,0.00355,0.5746478873239437
Callithrix_jacchus,35485.14196337346,4.1e-4,9.9e-4,0.5858585858585859
Callithrix_kuhlii,107530.73322234384,0.00121,0.003,0.5966666666666667
Cebuella_niveiventris,64135.03373911298,0.0013716666666666,0.0018466666666666,0.25722021660650746
Cebuella_pygmaea,47580.3228642173,7.55e-4,0.00137,0.44890510948905105
Cebus_albifrons,54227.063188679305,0.0014646666666666,0.0020518333333333,0.28616684266105574
Cebus_olivaceus,37646.47547772584,0.0010966666666666,0.001475,0.2564971751412881
Cebus_unicolor,52741.27210052527,0.001393,0.0020326666666666,0.3146933420793479
Cercocebus_chrysogaster,66544.85333619796,0.001,0.00223,0.5515695067264574
Cercocebus_lunulatus,87712.56013002513,0.0018,0.00284,0.36619718309859156
Cercocebus_torquatus,48102.926902290616,8.9e-4,0.00155749999999995,0.42857142857141023
Cercopithecus_ascanius,228945.4787795223,0.00392769047619045,0.0081246666666666,0.5165721084528002
Cercopithecus_cephus,282172.30506418645,0.0041088333333332994,0.0087689999999999,0.5314364997909287
Cercopithecus_diana,178822.43772987518,0.0027,0.00579,0.533678756476684
Cercopithecus_hamlyni,161140.00359438077,0.00329,0.0054,0.3907407407407408
Cercopithecus_lowei,225458.34117928997,0.004335,0.0073,0.4061643835616438
Cercopithecus_mitis,159044.5202799208,0.00308249999999995,0.00578,0.46669550173011254
Cercopithecus_mona,117242.91512922922,0.00203,0.00405,0.4987654320987654
Cercopithecus_neglectus,77116.69733239713,0.00168999999999995,0.0027366666666666,0.3824604141291141
Cercopithecus_nictitans,169068.01863090612,0.0026633333333333,0.00547416666666665,0.5134723702237829
Cercopithecus_petaurista,125348.59815050926,0.00195,0.00433,0.5496535796766744
Cercopithecus_pogonias,157203.14474008026,0.00246,0.00509,0.5166994106090373
Cercopithecus_roloway,166777.4030641323,0.00248,0.0054,0.5407407407407407
Cheirogaleus_major,147698.81175101272,0.00294,0.00459,0.3594771241830066
Cheirogaleus_medius,31752.973584921707,3.9e-4,9.4e-4,0.5851063829787233
Cheracebus_lucifer,99601.70057420644,0.0019963928571428,0.0032249523809523,0.38095431457090767
Cheracebus_lugens,65212.64232272869,0.0013301344627594499,0.0020265974025974,0.34366122197991794
Cheracebus_regulus,37005.148913652425,6.6749999999995e-4,0.00115,0.4195652173913478
Cheracebus_torquatus,71918.70245392449,0.00143,0.002235,0.36017897091722595
Chiropotes_albinasus,359929.78642363497,0.009577261904761849,0.0120616904761904,0.20597681364256332
Chiropotes_israelita,52488.44314611077,0.0011862619047618502,0.0017589523809523,0.3255861172776003
Chiropotes_sagulatus,68267.09041164858,0.0014803095238095,0.0022877142857142497,0.3529307689105368
Chlorocebus_pygerythrus,94952.2868207091,0.00199,0.00328,0.39329268292682923
Colobus_angolensis,47476.14341035455,0.00114,0.00164,0.3048780487804878
Colobus_guereza,42268.59171690568,6.65e-4,0.0015,0.5566666666666666
Colobus_polykomos,94893.55767224645,0.00178,0.00318,0.4402515723270441
Daubentonia_madagascariensis,13129.926218801393,2.5e-4,4.4e-4,0.4318181818181818
Erythrocebus_patas,58338.6494494471,0.0014533333333333,0.001955,0.256606990622353
Eulemur_albifrons,160570.1678948918,0.00244,0.00499,0.5110220440881763
Eulemur_collaris,46079.45499508719,6.994999999999499e-4,0.001432,0.51152234636875
Eulemur_coronatus,69261.22908613534,0.0010983333333333,0.0021891666666665997,0.4982870194137799
Eulemur_flavifrons,54220.587756090725,9.149999999999499e-4,0.001685,0.45697329376857576
Eulemur_fulvus,203528.31902508836,0.00307,0.006325,0.5146245059288538
Eulemur_macaco,65215.077403580806,0.00118,0.0020949999999999996,0.4367541766109784
Eulemur_mongoz,45532.42235897233,5.5e-4,0.001415,0.6113074204946997
Eulemur_rubriventer,75619.21734528974,0.001255,0.00235,0.46595744680851064
Eulemur_rufus,158639.46447330996,0.00243,0.00493,0.5070993914807302
Eulemur_sanfordi,129340.6427741724,0.0019408333333333,0.004155,0.5328920978740553
Galago_moholi,49871.731828188415,7e-4,0.00129,0.4573643410852713
Galago_senegalensis,15054.302651128137,2.8e-4,4.2e-4,0.3333333333333334
Galagoides_demidoff,94524.32893017108,0.00178,0.002445,0.27198364008179965
Gorilla_beringei,29092.85987829212,5.186666666666e-4,0.0011888333333333,0.5637179307444712
Gorilla_gorilla,62446.92163287935,0.00142362322461535,0.002616488021681,0.4559030223647946
Hapalemur_alaotrensis,143613.87486078058,0.001825,0.00465,0.60752688172043
Hapalemur_griseus,164615.4737651528,0.00294,0.00533,0.44840525328330205
Hapalemur_meridionalis,89874.48942900462,0.00137,0.00291,0.5292096219931272
Hoolock_hoolock,24591.328235017667,7.3e-4,9.033333333333e-4,0.19188191881915836
Hylobates_abbotti,112453.65309130088,0.00275,0.004255,0.35370152761457113
Hylobates_agilis,89064.35039193514,0.00194,0.00337,0.42433234421364985
Hylobates_klossii,43607.17452424124,9.7e-4,0.00165,0.4121212121212121
Hylobates_lar,106242.9342954241,0.00188,0.00402,0.5323383084577116
Hylobates_muelleri,97785.78529678338,0.00249,0.0037,0.3270270270270271
Lagothrix_lagothricha,39217.04196628994,8.1e-4,0.00147,0.4489795918367347
Lemur_catta,80028.53365067474,9.25e-4,0.00284,0.6742957746478874
Leontocebus_fuscicollis,111576.14163018718,0.00239299999999995,0.0036126666666666,0.3376084148366874
Leontocebus_illigeri,111831.96255123756,0.00193,0.00312,0.3814102564102564
Leontocebus_nigricollis,66310.61882044536,0.00117,0.00185,0.3675675675675676
Leontopithecus_chrysomelas,28374.997671632165,4.2e-4,8.4e-4,0.5
Leontopithecus_rosalia,13061.506864717316,2.9249999999995e-4,3.866666666666e-4,0.2435344827586195
Lepilemur_ankaranensis,197618.3482132453,0.00369499999999995,0.0051116666666666,0.27714378871861794
Lepilemur_dorsalis,103222.88680718068,0.00175,0.00267,0.3445692883895131
Lepilemur_ruficaudatus,99312.49185071255,0.00207,0.00294,0.2959183673469388
Lepilemur_septentrionalis,163043.63741477302,0.0034316666666666,0.0048266666666666,0.28901933701657856
Lophocebus_aterrimus,80570.00179719037,0.00183,0.0027,0.32222222222222224
Loris_tardigradus,67879.87204998937,0.00138,0.00206,0.33009708737864085
Macaca_arctoides,49946.54861684946,9.6440476190475e-4,0.0017942063492063,0.4624894944043799
Macaca_assamensis,NA,0.00143,0.00366,0.6092896174863388
Macaca_cyclopis,61950.577376926056,0.00102,0.00214,0.5233644859813084
Macaca_fascicularis,122854.8442838608,0.0029038846473578,0.0044132567264216,0.3420086735556043
Macaca_fuscata,31595.770857238185,8.3e-4,0.001135,0.2687224669603524
Macaca_leonina,76414.31086053212,0.0019876374181374,0.0027449953102453,0.27590498580495587
Macaca_maura,71358.57975765038,0.00182,0.00243,0.2510288065843621
Macaca_mulatta,74265.24482519481,0.001601104034854,0.0027561052281052,0.41907006360756915
Macaca_nemestrina,110851.41864484496,0.00267223809523805,0.0038292142857142,0.3021445404067687
Macaca_nigra,51818.473600326,0.00119,0.00179,0.3351955307262569
Macaca_radiata,46265.15425173773,0.0010224500680258,0.0016619613527705,0.38479311427948104
Macaca_siberu,33294.787117422864,7.6e-4,0.00121,0.3719008264462809
Macaca_silenus,22851.803596854475,6.161466115695499e-4,8.3048082736425e-4,0.25808448399097456
Macaca_thibetana,24027.560384508703,3.6e-4,8.3e-4,0.5662650602409638
Macaca_tonkeana,78161.94341948615,0.00201,0.0027,0.2555555555555556
Mandrillus_leucophaeus,82658.85369563603,9.75e-4,0.00277,0.648014440433213
Mandrillus_sphinx,184703.96066466515,0.00269,0.00574,0.5313588850174216
Mico_argentatus,29284.20301421651,5.626666666666e-4,8.1699999999995e-4,0.3113015095879627
Mico_humeralifer,58944.78210531288,0.001035,0.00155,0.3322580645161291
Mico_spnv,7527.1513255640675,1.7e-4,2.1e-4,0.19047619047619044
Microcebus_murinus,150780.44059820095,0.00153,0.00409,0.6259168704156479
Miopithecus_ogouensis,55990.3992258741,0.001115,0.00174,0.3591954022988505
Mirza_zaza,58376.98841904226,8.3e-4,0.00151,0.4503311258278146
Nomascus_annamensis,75585.76917535148,0.00152,0.00286,0.46853146853146854
Nomascus_concolor,62371.47386497535,0.00157,0.00236,0.33474576271186446
Nomascus_gabriellae,54442.89667874967,0.00116,0.00206,0.4368932038834952
Nomascus_siki,68317.90675464195,0.00172,0.0025849999999999996,0.33462282398452603
Nycticebus_coucang,44484.38216868235,8.799999999999999e-4,0.00135,0.34814814814814826
Nycticebus_pygmaeus,16860.13003183173,2.783333333333e-4,5.116666666666e-4,0.4560260586319161
Otolemur_crassicaudatus,40866.55575681616,0.00108,0.00127,0.14960629921259846
Otolemur_garnettii,41578.55017930628,8.6e-4,0.00116,0.25862068965517243
Pan_paniscus,27822.62790982908,9.548894461605e-4,0.00119196432682565,0.19889427504639345
Pan_troglodytes,55712.10542726842,0.0017650806929029,0.0024114175392465,0.26803190895989
Perodicticus_ibeanus,113346.86467506769,0.002635,0.00367,0.2820163487738419
Perodicticus_potto,48025.71514161587,0.00122,0.001555,0.21543408360128619
Pithecia_albicans,42970.66762516819,0.001,0.00144,0.3055555555555556
Pithecia_chrysocephala,63262.37178149761,0.00126,0.00212,0.40566037735849053
Pithecia_hirsuta,47048.90228403633,0.0010766666666666,0.0015766666666666,0.3171247357294003
Pithecia_mittermeieri,30139.14882043047,5.6e-4,0.00101,0.4455445544554456
Pithecia_pissinattii,43637.11084990939,9.566666666666e-4,0.0014623333333333,0.3457943925233952
Pithecia_vanzolinii,46551.55659393221,0.00104,0.00156,0.33333333333333337
Plecturocebus_bernhardi,149221.92222803732,0.0025831666666666503,0.0046373333333333,0.4429629097182284
Plecturocebus_brunneus,68483.61350257024,0.00128249999999995,0.0022,0.41704545454547737
Plecturocebus_caligatus,80188.5487763668,0.0014878333333333,0.002492,0.40295612627074634
Plecturocebus_cinerascens,116673.48037920306,0.0017666666666666,0.0036258333333333,0.5127556883475202
Plecturocebus_cupreus,78254.52536212475,0.0014552142857142,0.0024318968253967998,0.4016134769711045
Plecturocebus_dubius,94969.15608158692,0.0017461666666666,0.0029513333333333,0.40834651005196987
Plecturocebus_grovesi,35396.229395667535,6e-4,0.0011,0.45454545454545464
Plecturocebus_hoffmannsi,109640.70016253142,0.0016,0.00355,0.5492957746478874
Plecturocebus_miltoni,71114.24269493205,0.00117,0.00221,0.4705882352941177
Plecturocebus_moloch,36554.90822279933,5.9e-4,0.001225,0.5183673469387755
Pongo_abelii,77126.62377639834,0.0019245656565656001,0.0033383138528138004,0.42349169628151623
Pongo_pygmaeus,54310.01653705869,0.00138350396825395,0.0023507301587301,0.4114577706352566
Prolemur_simus,85046.11300814539,0.00136,0.00285,0.5228070175438596
Rhinopithecus_bieti,7979.742366985646,1.7e-4,2.9e-4,0.4137931034482758
Rhinopithecus_roxellana,12107.195315426496,3e-4,4.4e-4,0.3181818181818183
Saguinus_bicolor,26882.68330558596,4.7e-4,7.5e-4,0.37333333333333335
Saguinus_imperator,72723.16221291693,0.00118,0.00226,0.47787610619469023
Saguinus_labiatus,48924.35114414243,0.0010166666666666,0.0014483333333333,0.29804372842350513
Saguinus_midas,96362.39288643746,0.0019421666666666,0.0028526666666666,0.3191750408974135
Saguinus_mystax,48980.65074269837,8.6e-4,0.00145,0.4068965517241379
Saimiri_cassiquiarensis,62691.9282591934,0.001393343082571,0.0020298697927888503,0.31358006926312376
Saimiri_macrodon,78786.88059566694,0.0017093333333333,0.0025510000000000003,0.3299359728211291
Saimiri_ustus,82844.16061311358,0.0019102907176672,0.002574527802263,0.2580034614549271
Sapajus_apella,48619.797211975485,0.0010715,0.0018396666666666,0.41755752853775746
Sapajus_macrocephalus,47714.88821056674,0.00108339381207025,0.0018054268914779,0.3999237425873294
Semnopithecus_entellus,312837.5423590104,0.0085525522255522,0.0104835713730713,0.18419478236960604
Semnopithecus_hypoleucos,85152.75039595728,0.0018289523809523,0.00294148809523805,0.3782220693283867
Semnopithecus_johnii,73523.86703646016,0.001625,0.0026091666666666503,0.3771957840945346
Semnopithecus_priam,65375.42185548077,0.0013,0.00232,0.43965517241379315
Semnopithecus_schistaceus,21298.673715128756,4.899999999999e-4,7.558333333333e-4,0.35170893054034624
Semnopithecus_vetulus,82977.94205047472,0.00187883333333325,0.0029446666666666,0.3619538148064435
Trachypithecus_germaini,68756.90919283322,0.00152,0.00244,0.37704918032786877
Trachypithecus_hatinhensis,35223.82643075473,0.00101,0.00125,0.19199999999999998
Trachypithecus_laotum,35028.13019910305,9.5e-4,0.00121,0.2148760330578512
Trachypithecus_leucocephalus,10989.833846395475,4e-4,3.9e-4,-0.02564102564102571
Trachypithecus_melamera,37196.360710876994,8.9e-4,0.00132,0.3257575757575758
Varecia_rubra,50520.07286472548,7.6e-4,0.00157,0.5159235668789809
Varecia_variegata,77448.26276438292,0.00122,0.00223,0.4529147982062781
